"CAIT Climate Data Explorer. 2015. Washington, DC: World Resources Institute. Available online at: http://cait.wri.org.  Please Note: CAIT data are derived from several sources. Full citations are available at http://cait.wri.org/faq.html#q07. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2014, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, ©OECD/IEA, 2014."
"Country","Year","Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e)","Total GHG Emissions Including Land-Use Change and Forestry (MtCO₂e‍)","Population (People)"
"Afghanistan","2014","33.36614812","33.36614812","32758020"
"Albania","2014","9.036455701","8.678753001","2889104"
"Algeria","2014","202.0871262","201.6851262","39113313"
"Andorra","2014","0.518129105","0.496378605","79223"
"Angola","2014","157.8168291","252.0929303","26920466"
"Antigua & Barbuda","2014","1.13462652","1.14121732","98875"
"Argentina","2014","348.6472472","443.2556943","42981515"
"Armenia","2014","8.626277658","8.479610958","2906220"
"Australia","2014","589.7345036","523.2126791","23460694"
"Austria","2014","75.14769818","70.25588108","8541575"
"Azerbaijan","2014","72.59776211","64.13029131","9535079"
"Bahamas, The","2014","2.714541396","3.100892796","382169"
"Bahrain","2014","35.04475325","35.03989405","1336397"
"Bangladesh","2014","167.7068168","196.928683","159405279"
"Barbados","2014","3.355357619","3.359594519","283385"
"Belarus","2014","89.58018156","89.25188686","9474511"
"Belgium","2014","107.5031962","104.8745004","11209057"
"Belize","2014","9.801693593","12.08198569","351694"
"Benin","2014","12.71480994","23.54280994","10286712"
"Bhutan","2014","1.527239757","-2.263093543","776448"
"Bolivia","2014","48.46665372","134.1803914","10562159"
"Bosnia & Herzegovina","2014","28.64925537","28.79741477","3566002"
"Botswana","2014","14.18033323","36.55834123","2168573"
"Brazil","2014","1051.001312","1357.1811","204213133"
"Brunei","2014","19.2079731","19.7563525","411704"
"Bulgaria","2014","57.80457288","47.88966918","7223938"
"Burkina Faso","2014","23.50082589","32.59782589","17585977"
"Burundi","2014","3.301625677","5.558832977","9891790"
"Cambodia","2014","28.8387124","52.6170457","15270790"
"Cameroon","2014","83.13786222","196.5586219","22239904"
"Canada","2014","745.1087321","866.9965179","35544564"
"Cape Verde","2014","0.648809183","0.480142483","526437"
"Central African Republic","2014","48.56621957","61.89157457","4515392"
"Chad","2014","27.46620535","52.67453865","13569438"
"Chile","2014","97.15239014","-7.78630606","17613798"
"China","2014","11911.71179","11600.62925","1364270000"
"Colombia","2014","162.8699032","182.3851659","47791911"
"Comoros","2014","0.397841848","0.464841848","759385"
"Congo, Rep.","2014","6.998261951","19.29293245","4871101"
"Congo, Dem. Rep.","2014","41.19865888","206.7494711","73722860"
"Cook Islands","2014","0.108822224","0.108828324",""
"Costa Rica","2014","13.89755015","2.534531154","4757575"
"Cote d'Ivoire","2014","33.74008182","39.20827082","22531350"
"Croatia","2014","22.68560066","18.84294896","4238389"
"Cuba","2014","46.82767444","32.86500774","11439767"
"Cyprus","2014","7.022166736","6.717833436","1152309"
"Czech Republic","2014","116.7702981","104.2741718","10525347"
"Denmark","2014","48.77410378","48.27929378","5643475"
"Djibouti","2014","1.514306667","1.514306667","912164"
"Dominica","2014","0.24289671","0.35915051","72778"
"Dominican Republic","2014","33.1073147","24.406648","10405844"
"Ecuador","2014","60.62941065","94.52929885","15903112"
"Egypt","2014","272.6850053","272.466472","91812566"
"El Salvador","2014","11.82115395","12.55398485","6281189"
"Equatorial Guinea","2014","20.57992564","25.94023834","1129424"
"Eritrea","2014","6.755375657","7.415462557",""
"Estonia","2014","22.03626908","26.42848468","1314545"
"Ethiopia","2014","129.2132076","147.7270358","97366774"
"Fiji","2014","2.222656367","-0.767753133","885806"
"Finland","2014","59.52761632","65.24243152","5461512"
"France","2014","413.114351","334.2785837","66331957"
"Gabon","2014","7.258553465","-86.90168633","1875713"
"Gambia, The","2014","7.685859323","7.441526023","1917852"
"Georgia","2014","16.38215571","16.38915571","3727000"
